home,Главная
plans,Планы
about,О нас
contact,Контакты
what-we-offer,Что мы предлагаем
design,Дизайн
branding,Брэндинг
consultation,Консультации
promises,Гарантии
footer,Подвал
top,Наверх
design-description,Современные и реалистичные дизайны
branding-description,Эффективный маркетиниг поможет Вам побеждать на конкурентном рынке
consultation-description,Бесплатные консультации 24/7
promises-description,Высококачественный продукт для пользователей,singular
promises-description,Высококачественных продуктов для пользователей,plural
created-by,Создано %(author)s
total-view,%(view)d количество просмотров